Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,74.529999,75.150002,74.500000,75.139999,66.997757,5037200
2013-01-03,75.120003,75.370003,74.839996,75.029999,66.899689,2634600
2013-01-04,75.139999,75.519997,74.989998,75.410004,67.238510,2512900
2013-01-07,75.180000,75.279999,74.949997,75.209999,67.060173,2511200
2013-01-08,75.110001,75.180000,74.699997,75.010002,66.881859,1407900
2013-01-09,75.190002,75.410004,75.110001,75.239998,67.086937,1421900
2013-01-10,75.620003,75.769997,75.220001,75.760002,67.550591,1403700
2013-01-11,75.760002,75.800003,75.510002,75.769997,67.559486,1248500
2013-01-14,75.750000,75.800003,75.440002,75.690002,67.488159,2745100
2013-01-15,75.400002,75.889999,75.339996,75.830002,67.612984,1109100
2013-01-16,75.680000,75.910004,75.589996,75.769997,67.559486,1211300
2013-01-17,76.110001,76.500000,76.000000,76.290001,68.023140,1534800
2013-01-18,76.320000,76.540001,76.040001,76.500000,68.210396,2173800
2013-01-22,76.500000,76.900002,76.330002,76.900002,68.567047,3583900
2013-01-23,76.930000,77.080002,76.779999,76.989998,68.647293,2295000
2013-01-24,76.919998,77.440002,76.860001,77.080002,68.727539,5386800
2013-01-25,77.379997,77.529999,77.120003,77.510002,69.110970,2997100
2013-01-28,77.599998,77.610001,77.150002,77.440002,69.048531,1634100
2013-01-29,77.339996,77.769997,77.239998,77.699997,69.280342,2279300
2013-01-30,77.690002,77.830002,77.269997,77.389999,69.003944,2074200
2013-01-31,77.330002,77.500000,77.150002,77.250000,68.879120,2611300
2013-02-01,77.779999,78.110001,77.610001,78.000000,69.547852,2550000
2013-02-04,77.639999,77.720001,77.129997,77.180000,68.816704,2457700
2013-02-05,77.620003,78.110001,77.540001,77.910004,69.467598,1609800
2013-02-06,77.680000,78.059998,77.599998,78.050003,69.592445,1739400
2013-02-07,78.050003,78.129997,77.360001,77.910004,69.467598,2260100
2013-02-08,78.029999,78.379997,78.010002,78.379997,69.886673,4399000
2013-02-11,78.360001,78.389999,78.139999,78.339996,69.850990,2112700
