Date,Open,High,Low,Close,Adj Close,Volume
2014-11-17,105.000000,105.300003,104.830002,105.160004,95.533783,1449600
2014-11-18,105.239998,105.970001,105.220001,105.779999,96.097031,1486000
2014-11-19,105.650002,105.720001,105.029999,105.510002,95.851738,1771200
2014-11-20,105.070000,105.830002,104.940002,105.809998,96.124275,1502500
2014-11-21,106.849998,106.940002,106.059998,106.370003,96.633034,3435600
2014-11-24,106.650002,106.769997,106.500000,106.760002,96.987312,3990900
2014-11-25,106.919998,107.070000,106.500000,106.739998,96.969131,2310700
2014-11-26,106.769997,107.000000,106.629997,106.980003,97.187172,1178300
2014-11-28,106.949997,107.010002,106.480003,106.599998,96.841965,944100
2014-12-01,106.500000,106.550003,105.529999,105.699997,96.024345,2754700
2014-12-02,105.800003,106.489998,105.750000,106.360001,96.623924,2450900
2014-12-03,106.440002,106.989998,106.379997,106.839996,97.059982,3299500
2014-12-04,106.699997,107.010002,106.239998,106.709999,96.941895,2417600
2014-12-05,106.860001,107.169998,106.699997,106.949997,97.159920,3314700
2014-12-08,106.769997,107.070000,105.800003,106.190002,96.469482,2070200
2014-12-09,105.040001,106.330002,104.820000,106.250000,96.523987,3044100
2014-12-10,105.970001,106.190002,104.370003,104.510002,94.943275,3507300
2014-12-11,104.930000,105.989998,104.760002,104.989998,95.379349,3340100
2014-12-12,104.220001,104.750000,103.330002,103.339996,93.880386,3956600
2014-12-15,103.750000,104.180000,102.239998,102.589996,93.199013,4328100
2014-12-16,102.029999,104.010002,101.800003,101.830002,92.508598,7528300
2014-12-17,102.250000,104.209999,102.010002,104.010002,94.489052,4949000
2014-12-18,105.559998,106.470001,105.029999,106.470001,96.723854,6384400
2014-12-19,106.610001,107.250000,106.379997,106.910004,97.123589,3575600
2014-12-22,106.660004,106.779999,106.279999,106.769997,97.508057,5630200
2014-12-23,107.239998,107.239998,106.820000,107.010002,97.727257,4050500
2014-12-24,107.349998,107.349998,107.019997,107.040001,97.754631,1702600
2014-12-26,107.309998,107.629997,107.269997,107.360001,98.046890,3293500
2014-12-29,107.360001,107.709999,107.290001,107.589996,98.256927,3746700
2014-12-30,107.419998,107.459999,106.989998,107.059998,97.772896,4473000
2014-12-31,107.190002,107.389999,105.980003,106.000000,96.804848,2224400
2015-01-02,106.489998,106.720001,105.269997,105.919998,96.731804,5298300
2015-01-05,105.349998,105.550003,103.860001,104.099998,95.069672,5383500
2015-01-06,104.400002,104.500000,102.510002,103.080002,94.138153,4226100
2015-01-07,104.089996,104.449997,103.550003,104.309998,95.261452,3661500
2015-01-08,105.209999,106.239998,105.110001,106.150002,96.941841,2796200
2015-01-09,106.320000,106.349998,104.919998,105.269997,96.138184,3272500
2015-01-12,105.550003,105.550003,104.120003,104.519997,95.453239,3705900
2015-01-13,105.330002,106.000000,103.430000,104.279999,95.234055,2936200
2015-01-14,103.040001,103.790001,102.500000,103.709999,94.713501,3291600
2015-01-15,104.050003,104.260002,102.570000,102.660004,93.754601,5615200
2015-01-16,102.610001,104.110001,102.419998,104.019997,94.996620,2768900
2015-01-20,104.419998,104.529999,103.199997,104.169998,95.133598,3186900
2015-01-21,103.930000,104.949997,103.599998,104.639999,95.562843,3119400
2015-01-22,105.239998,106.309998,104.269997,106.230003,97.014900,3583500
2015-01-23,106.110001,106.279999,105.680000,105.750000,96.576546,4571900
2015-01-26,105.750000,106.220001,105.199997,106.190002,96.978363,4106500
2015-01-27,105.370003,105.610001,104.360001,104.949997,95.845940,2709300
2015-01-28,105.639999,105.720001,103.410004,103.529999,94.549126,2830400
2015-01-29,103.699997,104.620003,102.820000,104.519997,95.453239,2607200
2015-01-30,103.669998,104.510002,102.949997,103.099998,94.156418,4486900
