FY ending,Basic EPS,Total Revenue,Total Expenses,Gross Profit,Assets,Liabilities
2021,5.69,"257,637,000","178,923,000","146,698,000","359,268,000","107,633,000"
2022,4.59,"282,836,000","207,994,000","156,633,000","365,264,000","109,120,000"
2023,5.84,"307,394,000","223,101,000","174,062,000","402,392,000","119,013,000"
2024,8.13,"350,018,000","237,628,000","203,712,000","450,256,000","125,172,000"
