FY ending,Basic EPS,Total Revenue,Total Expenses,Gross Profit,Assets,Liabilities
2021,2.77,"134,038,000","107,928,000","73,631,000","551,622,000","367,767,000"
2022,-1.13,"120,741,000","97,830,000","69,893,000","402,853,000","296,396,000"
2023,1.97,"122,428,000","97,774,000","72,305,000","407,060,000","287,645,000"
2024,1.49,"122,336,000","98,212,000","73,115,000","394,795,000","274,570,000"
